ID,Aspect,Dimension,Code
1,Use Context,Use Purpose,Live performance
2,Use Context,Use Purpose,Composition
3,Use Context,Use Purpose,Entertainment
4,Use Context,Use Purpose,Skill acquisition
5,Use Context,Use Purpose,Art installation
6,Use Context,Use Purpose,Other
7,Use Context,Use Purpose,NA
8,Use Context,Musical Context,Jazz Improvisation
9,Use Context,Musical Context,Electronic music
10,Use Context,Musical Context,New music
11,Use Context,Musical Context,Western classical
12,Use Context,Musical Context,Popular music
13,Use Context,Musical Context,Traditional music
14,Use Context,Musical Context,Live coding
15,Use Context,Musical Context,Virtuosic practice
16,Use Context,Musical Context,Non-specific
17,Use Context,Musical Context,Other
18,Use Context,Musical Context,NA
19,Use Context,Musical Context,Score-based
20,Use Context,Target User ,Musicians
21,Use Context,Target User ,Novice users
22,Use Context,Target User ,Audience
23,Use Context,Target User ,Other
24,Use Context,Target User ,NA
25,Use Context,Collaboration Structure,1:1 collaboration
26,Use Context,Collaboration Structure,1:N collaboration
27,Use Context,Collaboration Structure,N:1 collaboration
28,Use Context,Collaboration Structure,N:N collaboration
29,Use Context,Collaboration Structure,Agent only
30,Use Context,Collaboration Structure,Other
31,Use Context,Collaboration Structure,NA
32,Use Context,Agent role,Lead
33,Use Context,Agent role,Accompanist
34,Use Context,Agent role,Controller
35,Use Context,Agent role,Mapper
36,Use Context,Agent role,Remixer
37,Use Context,Agent role,Interpreter
38,Use Context,Agent role,Conductor
39,Use Context,Agent role,Evaluator
40,Use Context,Agent role,Other
41,Use Context,Agent role,NA
42,Use Context,User role,Lead
43,Use Context,User role,Accompanist
44,Use Context,User role,Non-musical performer
45,Use Context,User role,Coder
46,Use Context,User role,Mixer
47,Use Context,User role,Conductor
48,Use Context,User role,Manipulator
49,Use Context,User role,Other
50,Use Context,User role,NA
51,Use Context,User Preference,Control
52,Use Context,User Preference,Diversity
53,Use Context,User Preference,Coherence
54,Use Context,User Preference,Novelty
55,Use Context,User Preference,Personalization
56,Use Context,User Preference,Other
57,Use Context,User Preference,NA
58,Use Context,Expected impact,Expression
59,Use Context,Expected impact,Immersion
60,Use Context,Expected impact,Exploration
61,Use Context,Expected impact,Reflection
62,Use Context,Expected impact,Engagement
63,Use Context,Expected impact,Delegation
64,Use Context,Expected impact,Empowerment
65,Use Context,Expected impact,Other
66,Use Context,Expected impact,NA
67,Interaction,Interface,Graphical user interface
68,Interaction,Interface,Programming interface
69,Interaction,Interface,Conventional instrument
70,Interaction,Interface,Custom instrument
71,Interaction,Interface,DJ gear
72,Interaction,Interface,Embodied agent
73,Interaction,Interface,Stage visual
74,Interaction,Interface,Sensor device
75,Interaction,Interface,XR Interface
76,Interaction,Interface,Other
77,Interaction,Interface,NA
78,Interaction,Input modality,Symbolic music
79,Interaction,Input modality,Raw audio waveform
80,Interaction,Input modality,Gesture
81,Interaction,Input modality,Visual
82,Interaction,Input modality,Control signals
83,Interaction,Input modality,Natural language
84,Interaction,Input modality,Programming language
85,Interaction,Input modality,On-body sensor data
86,Interaction,Input modality,Exogenous sensor data
87,Interaction,Input modality,Other
